facility_id,facility_name,category,match_type,matched_constant_name,similarity_score,action_recommendation
41a333c3-067e-4d33-82c3-fa15d63a9575,"전국공무원상조",sangjo,LOW_SIMILARITY,"효원상조",0.43,DELETE_BUT_CHECK
b7faead4-f9d0-4a19-bb77-a29d4647c195,"제주상조",sangjo,CONTAINS,"우리제주상조",0.80,DELETE
aa428bcf-58ef-4203-b567-197f0ee4ac7c,"좋은라이프",sangjo,LOW_SIMILARITY,"교원라이프",0.60,DELETE
b4b3f248-abdf-407c-acc7-f04abbba686a,"크리스찬상조",sangjo,EXACT,"크리스찬상조",1.00,DELETE
f5cb1783-7342-4fb4-a7bd-775e2eb51c24,"태양상조",sangjo,LOW_SIMILARITY,"착한상조",0.50,DELETE
450c9322-cce6-453d-b541-7157c07d8541,"파주보람장례식장",sangjo,LOW_SIMILARITY,"보람상조개발",0.25,DELETE_BUT_CHECK
2df02a83-297d-4141-baa1-eeae1e84e2f7,"평화상조",sangjo,LOW_SIMILARITY,"착한상조",0.50,DELETE
c10390ce-33de-4ff4-9920-f90fce4f04b7,"프리드라이프",sangjo,EXACT,"프리드라이프",1.00,DELETE
28901f23-0618-4eef-a51e-76c55397d720,"피플맥",sangjo,LOW_SIMILARITY,"더피플라이프",0.33,DELETE_BUT_CHECK
a12822d4-9be3-460b-931e-2cc5fa37b634,"한강라이프",sangjo,LOW_SIMILARITY,"교원라이프",0.60,DELETE
4a1b592f-d8f2-4704-b2c5-1dd5bfcfdce7,"한국불교원각종 장수사",sangjo,LOW_SIMILARITY,"교원라이프",0.20,DELETE_BUT_CHECK
42bbb10b-30a0-4b48-8d7f-91c915b67ca7,"한라상조",sangjo,EXACT,"한라상조",1.00,DELETE
c92d9fa0-55f6-48ba-9f15-0ad9b10095d3,"현대S라이프연세병원장례식장",sangjo,LOW_SIMILARITY,"현대에스라이프",0.29,DELETE_BUT_CHECK
b20a16fc-275a-4b97-abac-8a1e56d7a5d0,"현대에스라이프",sangjo,EXACT,"현대에스라이프",1.00,DELETE
3725775c-2337-42e4-adad-48abb49e619b,"효원상조",sangjo,EXACT,"효원상조",1.00,DELETE
0dab177c-8ec6-46f1-bf0f-af82a632ecba,"효원장례문화센타",sangjo,LOW_SIMILARITY,"효원상조",0.25,DELETE_BUT_CHECK
