시설유형,시설명,개인단_가격(만원),부부단_가격(만원)
"자연장지","대한불교조계종은해사",200,
"자연장지","불광사양지수목장",168.3,255
"자연장지","자연숲추모공원 수목장림",481.8,383.3
"자연장지","월곳리 공설자연장지",112.5,
"자연장지","영모묘원 자연장지",150,
"자연장지","에덴의정원 수목장",500,800
"자연장지","재단법인 지평선전북공원묘원",192.5,
"자연장지","자연애숲(다니엘교회)",610,425
"자연장지","하늘동산수목장",880,300
"자연장지","쌍계사장례문화원",1240,
"자연장지","일산공감수목장(봉화사)",600,1000
"자연장지","경주하늘수목장림",264.8,
"자연장지","신광사수목장",50,
"자연장지","늘푸른수목장 (청광사)",150,450
"자연장지","목자은혜교회 자연장",200,
"자연장지","대한불교조계종 계승사 극락원",88.6,
"자연장지","천주교 태안교회 공원묘지",200,
