번호,시설명,카테고리,주소,위도,경도,문제설명,ID
93,"석포리공설묘지","공원묘지","인천광역시 강화군 삼산면 석포리 산83",37.6844157876152,126.359026296584,"Address says "인천" but coordinates are in "UNKNOWN"","b87b3dd4-f765-4570-8303-72d7d9275d5c"
94,"선두리공설묘지","공원묘지","인천광역시 강화군 길상면 선두리 산204",37.6146960655221,126.476666132321,"Address says "인천" but coordinates are in "경기"","230f24f0-f958-4d67-9996-95ff2703c85d"
95,"선재리공설묘지","공원묘지","인천광역시 옹진군 영흥면 선재로226번길 85",37.2512582191072,126.522068342268,"Address says "인천" but coordinates are in "경기"","21a11767-d282-4990-b9a0-f64da410f485"
96,"성주효요양병원 장례식장","장례식장","경북 성주군 성주읍 성주순환로 239",35.9222012958731,128.291991666622,"Address says "경북" but coordinates are in "UNKNOWN"","ff4475f0-20fe-4d23-8a76-0d95c4eda0c3"
97,"세종수목장","자연장","세종특별자치시 전의면 부거실길 135-11",36.627763788366,127.187631473613,"Address says "세종" but coordinates are in "충남"","ee1b9433-c08d-463b-810f-a76bf6dbd0c9"
98,"세종여주병원장례식장","장례식장","경기도 여주시 청심로 39 세종여주병원 지층",37.3014799871914,127.625319684824,"Address says "세종" but coordinates are in "강원"","217579e8-43ad-4d35-9c22-e7256ec4b208"
99,"송월교회묘지","공원묘지","인천광역시 서구 마전동 산72-1",37.6141336547395,126.652252856069,"Address says "인천" but coordinates are in "경기"","c99cd149-b38b-420c-96af-d7b1367082eb"
100,"수도권추모공원 분당납골당","봉안시설","경기 광주시 오포로 211-49",37.3549404400033,127.182093112494,"Address says "광주" but coordinates are in "경기"","4a686ea6-8d00-4286-9232-0e107b811c9a"
101,"순창군보건의료원장례식장","장례식장","전북특별자치도 순창군 순창읍 교성로 135 순창군보건의료원",35.367239602332,127.143921881224,"Address says "전북" but coordinates are in "전남"","6f6db8c7-8509-4c7f-9f55-c373852998eb"
102,"순창장례식장","장례식장","전북특별자치도 순창군 순창읍 순창로 89",35.3640235761219,127.142474745788,"Address says "전북" but coordinates are in "전남"","8a88eaf9-73aa-42e3-9a88-aa3908c303c4"
103,"순창현대장례식장","장례식장","전북특별자치도 순창군 순창읍 교성로 141-5 141-21",35.3669965851932,127.144391306406,"Address says "전북" but coordinates are in "전남"","7e209d65-5364-4afb-a702-cf4f6732c669"
104,"숭뇌리공설묘지","공원묘지","인천광역시 강화군 송해면 숭뢰리 산63",37.7867389619658,126.471007481527,"Address says "인천" but coordinates are in "경기"","cb0987f9-89dc-4202-bbb6-a4357298a3da"
105,"스카이캐슬추모공원","공원묘지","경기도 광주시 머루숯길 61-33",37.3653144353239,127.154903728771,"Address says "광주" but coordinates are in "경기"","b38093fd-5761-4154-98c6-27674bd1bb62"
106,"시안 가족추모공원","공원묘지","경기도 광주시 오포안로 17",37.3542413141922,127.192598664551,"Address says "광주" but coordinates are in "경기"","0b424f09-8574-4fdf-a101-49aa1c14087e"
107,"신림덕화공설묘지","공원묘지","전북특별자치도 고창군 신림면 가평로 576",35.4861876172022,126.737920177528,"Address says "전북" but coordinates are in "전남"","351401ff-2bc8-4dcf-af9e-4fc5adddf74c"
108,"신삼리공설묘지","공원묘지","인천광역시 강화군 하점면 신삼리 산107",37.7459963162728,126.409630032081,"Address says "인천" but coordinates are in "경기"","acd45e69-0e86-4d74-b845-585754fa1b12"
109,"신정리공설묘지","공원묘지","인천광역시 강화군 선원면 신정리 산63",37.7248243082085,126.497603957767,"Address says "인천" but coordinates are in "경기"","4ec00434-8ab0-43e3-87c8-23675d005c75"
110,"신현리공동묘지","공원묘지","인천광역시 강화군 불은면 신현리 산59-3",37.6579636668524,126.497163177922,"Address says "인천" but coordinates are in "경기"","bd9367ac-5d25-410c-bcf6-ce82b36d8b8e"
111,"쌍룡사 납골당","봉안시설","경북 문경시 농암면 칠봉로 755",36.5514424198097,128.000111855903,"Address says "경북" but coordinates are in "충북"","cd3ce1b2-635b-4140-9496-1bc9d1415630"
112,"아산주진공설묘지","공원묘지","전북특별자치도 고창군 아산면 주진리 산16",35.4346697163283,126.613226757535,"Address says "전북" but coordinates are in "전남"","a9bd5aaa-09c7-4533-a5cb-c9c4f38c6465"
113,"아차공설묘지","공원묘지","인천광역시 강화군 서도면 아차도리 산13",37.6604376080326,126.230202181867,"Address says "인천" but coordinates are in "UNKNOWN"","de006041-c81a-4d68-b5b9-0c50c45eb001"
114,"양오리공설묘지","공원묘지","인천광역시 강화군 송해면 양오리 산184",37.7939747784873,126.435649710028,"Address says "인천" but coordinates are in "경기"","12c8d2ad-9074-42f8-9336-6a2442755469"
115,"양평추모공원더포레","공원묘지","경기도 양평군 청운면 벗고갯길 45-20 양평추모공원 더포레",37.5093703145609,127.733676211136,"Address says "경기" but coordinates are in "강원"","eb16fa07-3cb2-4ba4-a463-b01c08ffdc23"
116,"여주국빈장례식장","장례식장","경기도 여주시 여양로 388-13",37.3164748349532,127.647259737751,"Address says "경기" but coordinates are in "강원"","fe57e656-810c-40ec-bd99-cb74727d6b5e"
117,"여주시민장례문화원","장례식장","경기도 여주시 칠산길 28-8",37.2901187057845,127.642432529936,"Address says "경기" but coordinates are in "강원"","af7088ce-4d43-4c54-987b-143539a186f5"
118,"연평리공설묘지","공원묘지","인천광역시 옹진군 연평면 연평리 산10-113",37.6546643070551,125.688094088409,"Address says "인천" but coordinates are in "UNKNOWN"","bd681fc5-f2f9-452d-958c-3ec518984c6d"
119,"열방센터 추모공원","공원묘지","경북 상주시 화서면 영남제일로 4496",36.4513918708375,127.920255740051,"Address says "경북" but coordinates are in "충북"","6dc47368-d33e-46d1-a486-b4963248d3d7"
120,"예수사랑제일교회","봉안시설","인천광역시 강화군 하점면 창후로 90-35",37.7698893,126.3713623,"Address says "인천" but coordinates are in "UNKNOWN"","e64943b1-3eba-4dc0-a1d1-88ad3a201894"
121,"오상리공설묘지","공원묘지","인천광역시 강화군 내가면 오상리 산91-2",37.7277022890775,126.404580379044,"Address says "인천" but coordinates are in "경기"","9bfbd331-0349-4827-b68e-21911acbc877"
122,"오포장례식장","장례식장","경기도 광주시 오포로 225-7 오포읍 장례식장",37.3513776053552,127.186566554126,"Address says "광주" but coordinates are in "경기"","b8fff6d5-f4cf-4eb1-8b43-d418856d2d86"
123,"오향중흥교회 봉안당 부활동산","봉안시설","경기도 광주시 곤지암읍 가마을길 83-19",37.3577454780782,127.383397076538,"Address says "광주" but coordinates are in "경기"","7a3d4e2b-fad4-4df2-8a7d-3849ffa763a3"
124,"온누리장례식장","장례식장","인천광역시 서구 완정로 199 온누리병원",37.6027739,126.6543088,"Address says "인천" but coordinates are in "경기"","c9bb21e2-4c33-45aa-96f6-90290802dcbc"
125,"온수리공설묘지","공원묘지","인천광역시 강화군 길상면",37.6416648973794,126.489222662087,"Address says "인천" but coordinates are in "경기"","21667b1d-fd03-4005-a6b4-a81182f60b84"
126,"외포리공설묘지","공원묘지","인천광역시 강화군 내가면 외포리 산98-1",37.7072759480794,126.382640725272,"Address says "인천" but coordinates are in "UNKNOWN"","92a15e07-8edb-45b0-8b5b-f1a5756b9ede"
127,"용문장례식장","장례식장","경기도 양평군 용문면 경강로 3303",37.5110076141415,127.625307475446,"Address says "경기" but coordinates are in "강원"","0cab239c-83f7-4f41-b439-63290dd0dd1d"
128,"용인서울병원장례문화센터","장례식장","경기도 용인시 처인구 고림로 81 용인서울병원",37.2403175460026,127.214490542199,"Address says "서울" but coordinates are in "경기"","90c85a9d-146d-44f6-af84-273d2a7de3c4"
129,"우도면공설묘지","공원묘지","제주특별자치도 제주시 우도면 연평리 394",33.4967373840411,126.959190875853,"Address says "제주" but coordinates are in "UNKNOWN"","fde52ab9-c8f4-4176-b03a-31da6dd56d98"
130,"우도면봉안당","봉안시설","제주특별자치도 제주시 우도면 영일길 80-10 우도장례식장",33.4975779770594,126.959272698178,"Address says "제주" but coordinates are in "UNKNOWN"","aeb68bf3-ca69-4eed-b3b3-169214733f40"
131,"우도장례식장","장례식장","제주특별자치도 제주시 우도면 영일길 80-10",33.4976779770594,126.959372698178,"Address says "제주" but coordinates are in "UNKNOWN"","e0af5a4f-9b2b-40b0-a93f-1849f23488a0"
132,"월곳리공설묘지","공원묘지","인천광역시 강화군 강화읍 월곳리 산8",37.7820105647657,126.502633128721,"Address says "인천" but coordinates are in "경기"","49191819-ecb9-4554-8bdb-e2b14f8fb2bb"
133,"이작2리공설묘지","공원묘지","인천광역시 옹진군 자월면 소이작로 14",37.1818885968548,126.241274538993,"Address says "인천" but coordinates are in "UNKNOWN"","447abfed-88d6-489b-948c-39969eda6645"
134,"인산리공설묘지","공원묘지","인천광역시 강화군 양도면 인산리 산225",37.6983406294905,126.417393044934,"Address says "인천" but coordinates are in "경기"","9f52a9e4-d400-4c90-956b-c97da1156c8a"
135,"인월장례식장","장례식장","전북특별자치도 남원시 인월면 황산로 1735",35.4618856003659,127.594275149768,"Address says "전북" but coordinates are in "전남"","98d5a2f5-57d7-4efb-9c92-d4946bbb1c27"
136,"인화리공설묘지","공원묘지","인천광역시 강화군 양사면 인화리 산336",37.7885509907765,126.376240938585,"Address says "인천" but coordinates are in "UNKNOWN"","feea806d-c50f-481f-bbb9-9ec0ebb60347"
137,"자월리공설묘지","공원묘지","인천광역시 옹진군 자월면 자월리 산308",37.2694046199667,126.28581587806,"Address says "인천" but coordinates are in "UNKNOWN"","1112afa0-ff01-4ab8-8ca9-834015df5fca"
138,"장봉리1공설묘지","공원묘지","인천광역시 옹진군 북도면 장봉로 160",37.5303500804325,126.376147194371,"Address says "인천" but coordinates are in "UNKNOWN"","1001b528-7f02-4f34-b784-7af3024a35f8"
139,"장정리공설묘지","공원묘지","인천광역시 강화군 하점면 장정리 산188",37.7834488275305,126.418974966785,"Address says "인천" but coordinates are in "경기"","44b11f55-9937-423e-86e7-b2e43970f484"
140,"장호원요양병원장례식장","장례식장","경기도 이천시 장호원읍 샘재로145번길 41 장호원연세병원",37.1195622344916,127.628978469445,"Address says "경기" but coordinates are in "강원"","20d90856-7e2f-46d4-8847-eea5a067f3ed"
141,"장화리공설묘지","공원묘지","인천광역시 강화군 화도면 장화리 산354",37.6132172602349,126.375595328988,"Address says "인천" but coordinates are in "UNKNOWN"","dea10235-717b-4bdc-aecd-f2ea9ba1de5e"
142,"장흥리공설묘지","공원묘지","인천광역시 강화군 길상면 장흥리 산69-1",37.626071217841,126.497208070967,"Address says "인천" but coordinates are in "경기"","080f0af1-6c24-40a4-bd3f-77d1bb7d5912"
143,"점봉리공설공원묘지","공원묘지","경기도 여주시 점봉동 산11-3",37.2681584398551,127.638643638623,"Address says "경기" but coordinates are in "강원"","1b2eddb8-2523-4015-981d-fc24c08f82fb"
144,"제주4.3 성산읍 희생자 추모공원","공원묘지","제주특별자치도 서귀포시 성산읍 고성리 224-1",33.4496795830286,126.922259744907,"Address says "제주" but coordinates are in "UNKNOWN"","4ebf0500-5ce8-4554-8721-d1eaf1d389c6"
145,"제천서울병원장례식장","장례식장","충청북도 제천시 숭문로 57 서울병원",37.1387367945661,128.20644071932,"Address says "서울" but coordinates are in "강원"","1a3bedf9-104f-4f5c-bb62-9de4573add14"
146,"주문공설묘지","공원묘지","인천광역시 강화군 서도면 주문도리 산33",37.6387087897886,126.242388445644,"Address says "인천" but coordinates are in "UNKNOWN"","970612e7-a50e-4e4c-b0af-88bf95ad4d59"
147,"중대공원자연장지","자연장","경기도 광주시 순암로 192 (중대동)",37.4008464466615,127.228681663842,"Address says "광주" but coordinates are in "경기"","ec299a4e-025f-46a1-a413-fa6fdd914f31"
148,"진리1공설묘지","공원묘지","인천광역시 옹진군 덕적면 진리 산127",37.2409087751464,126.133863694269,"Address says "인천" but coordinates are in "UNKNOWN"","c00aaf5b-98c3-4c0b-90bc-59d80d745ae5"
149,"진촌리공설묘지","공원묘지","인천광역시 옹진군 백령면 관창길 68",37.9770206056152,124.692622488177,"Address says "인천" but coordinates are in "UNKNOWN"","6473a079-c634-4848-afb0-97e86825f435"
150,"참사랑장례식장","장례식장","인천광역시 강화군 선원면 중앙로 271",37.7230649510062,126.48040333093,"Address says "인천" but coordinates are in "경기"","c4e4d05e-473e-4523-9bff-386173b0e55b"
151,"창리공설묘지","공원묘지","인천광역시 강화군 선원면 창리 산84",37.7218839872061,126.48732199454,"Address says "인천" but coordinates are in "경기"","a07d8ac9-2d2e-496d-acca-fc28b12dad0d"
152,"처리공원묘지","공원묘지","경기도 여주시 점동면 처리 산6",37.2310568308469,127.680813150812,"Address says "경기" but coordinates are in "강원"","8db63df0-1775-4ef9-8565-22aa94c2929f"
153,"천화수목장","자연장","충북 영동군 심천면 마곡리 185-3",36.2142341355387,127.652544569118,"Address says "충북" but coordinates are in "충남"","1f92fe99-f8d5-449f-8378-5d0d9570666a"
