ID,Name,Type,Address,NormalizedName,Note
"26349271","봉안천국","charnel","경기 용인시 처인구 신송로 129","봉안천국","No exact match in 2023 data"
"16386496","쉴낙원 남대전장례식장","funeral","대전 동구 산서로1660번길 142","쉴낙원남대전","No exact match in 2023 data"
"1557735121","성주전문장례식장","funeral","경상북도 성주군 성주읍 주산로 83 (삼산리, 성주전문장례식장)","성주전문","No exact match in 2023 data"
"10233754","대전추모공원","park","대전 서구 상보안윗길 160","대전추모공원","No exact match in 2023 data"
"1083906671","푸디스트 쉴낙원남대전장례식장","funeral","대전 동구 산서로1660번길 142","푸디스트쉴낙원남대전","No exact match in 2023 data"
"1239833181","인천가족공원 호국봉안담","charnel","인천광역시 부평구 평온로 61 (부평동, 관리사무소및홍보관)","인천가족공원호국봉안담","No exact match in 2023 data"
"805839542","현대공원 제2묘원 추모의집","park","경북 칠곡군 동명면 다부거문1길 51-75","현대공원제2묘원추모의집","No exact match in 2023 data"
"17573821","부평세림병원 장례식장","funeral","인천 부평구 부평대로 175","부평세림병원","No exact match in 2023 data"
"25733578","남국선원 봉안탑","charnel","제주특별자치도 서귀포시 상효동 산 39-1","남국선원봉안탑","No exact match in 2023 data"
"1848713993","원주추모공원 화장장","park","강원특별자치도 원주시 흥업면 복술길 33","원주추모공원화장장","No exact match in 2023 data"
"1686629907","무인민원발급창구 서남권추모공원","park","전북특별자치도 정읍시 감곡면 정읍북로 1850","무인민원발급창구서남권추모공원","No exact match in 2023 data"
"26520698","약천추모관","charnel","경기 평택시 도일로 164-118","약천추모관","No exact match in 2023 data"
"7903928","동탄추모관","charnel","경기 화성시 동탄기흥로 64-42","동탄추모관","No exact match in 2023 data"
"7940669","섬진장례식장","funeral","전남 곡성군 곡성읍 곡성로 935","섬진","No exact match in 2023 data"
"12991201","시안가족추모공원","park","경기 광주시 오포안로 17","시안가족추모공원","No exact match in 2023 data"
"26800745","스카이캐슬추모공원","park","경기 광주시 머루숯길 61-33","스카이캐슬추모공원","No exact match in 2023 data"
"22893404","수도권추모공원 분당납골당","park","경기 광주시 오포로 211-49","수도권추모공원분당납골당","No exact match in 2023 data"
"27579080","나주시영산포농협장례식장","funeral","전남 나주시 영산포로 30-50","나주시영산포농협","No exact match in 2023 data"
"13567964","예지장례식장","funeral","인천광역시 중구 개항로 82.2층예지장례식장 (경동, 예지요양병원)","예지","No exact match in 2023 data"
